Function Name,Param Names,Param Descriptions
a!richTextBulletedList(),"a!richTextBulletedList(items, showWhen)","items: Array of text to display as a bulleted list. Text can be further formatted using a!richTextItem(). Nested lists can be created using a!richTextListItem(). showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!buttonArrayLayout(),"a!buttonArrayLayout(buttons, showWhen, align, marginBelow, accessibilityText)","buttons: Array of buttons created with a!buttonWidget(). showWhen: Determines whether the layout is displayed on the interface. When set to false, the layout is hidden and is not evaluated. Default: true. align: Determines alignment of the button(s). Valid values: ""START"", ""CENTER"", ""END"". marginBelow: Determines how much space is added below the buttons. Valid values: ""NONE"", ""EVEN_LESS"", ""LESS"", ""STANDARD"" (default), ""MORE"", ""EVEN_MORE"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. "
a!buttonWidget(),"a!buttonWidget(label, style, confirmMessage, value, saveInto, disabled, submit, validate, validationGroup, size, width, confirmHeader, confirmButtonLabel, cancelButtonLabel, showWhen, icon, accessibilityText, tooltip, recaptchaSaveInto, loadingIndicator)","label: Optional text to display on the button. style: Determines the color of the button, where ""NORMAL"" default) Displays it with accent color label and border. ""PRIMARY"" Displays it in the accent color. ""SECONDARY"" Displays it in gray. ""LINK"" Displays it with an accent color label and no border until focused. ""DESTRUCTIVE"" Displays it in red. confirmMessage: Text to display in an optional confirmation dialog where a null argument disables the confirmation dialog and a text argument enables it with the text entered as the confirmation message. value: The value associated with this button. saveInto: One or more variables that are updated with the button value when the user presses it. Use a!save() to save a modified or alternative value to a variable. disabled: Determines if the user is prevented from clicking the button and triggering the state change. Default is false. submit: Determines whether this button submits a form after saving its value. validate: Determines whether this button performs validation before saving its value. When submit is true, this defaults to true, otherwise it defaults to false. validationGroup: When present, components in the same validation group are validated when this button is clicked. size: Determines the size of the button. Valid values: ""SMALL"", ""STANDARD"" (default), and ""LARGE"". width: Determines button width. Valid values are ""MINIMIZE"" and ""FILL"". Default behavior displays ""FILL"" width buttons on phone size screens and ""MINIMIZE"" buttons on wider screens. ""MINIMIZE"" width is determined by button label. ""FILL"" width fills the button container. confirmHeader: Text to display at the top of the confirmation dialog. confirmButtonLabel: Text to display on the confirmation button. Default: ""Yes"". cancelButtonLabel: Text to display on the cancel button. Default: ""No"". showWhen: Determines whether the button is displayed on the interface. When set to false the button is hidden and is not evaluated. Default: true. icon: Icon to display before any text inside the button. See the list of available icons. accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. tooltip: Text to display on mouseover (web) or long press (mobile). recaptchaSaveInto: One or more variables that are updated after reCAPTCHA executes. Use a!verifyRecaptcha() to verify the reCAPTCHA result and a!save() to save a modified or alternative value to a variable. Only for use in Portals. loadingIndicator: Determines whether the button will display a loading indicator on press and be disabled while processing. Default: false. "
a!buttonLayout(),"a!buttonLayout(primaryButtons, secondaryButtons, accessibilityText, showWhen)","primaryButtons: Array of prominent buttons created with a!buttonWidget(). secondaryButtons: Array of less prominent buttons created with a!buttonWidget(). accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the layout is displayed on the interface. When set to false, the layout is hidden and is not evaluated. Default: true. "
a!colorSchemeCustom(),a!colorSchemeCustom(Colors),Colors: List of colors to use in the custom color scheme. Valid values: any valid hex colors. Maximum colors allowed: 12. 
a!chartReferenceLine(),"a!chartReferenceLine(label, value, showWhen, color, style)","label: Text to display on top of the reference line. value: The numeric value at which the reference line will be drawn. showWhen: Determines whether the reference line is displayed on the interface. When set to false, the reference line is hidden and is not evaluated. Default: true. color: Color for the reference line. Valid values: Any valid hex color or ""ACCENT"", ""BLUEGRAY"", ""GREEN"", ""GOLD"", ""ORANGE"", ""PURPLE"", ""RED"",""SKYBLUE"", ""LIMEGREEN"", ""YELLOW"", ""AMBER"", ""PINK"", and ""VIOLETRED"". style: Style of the reference line. Valid values are: ""SOLID"", ""DOT"", ""DASH"" (default), ""DASHDOT"", ""SHORTDASH"". "
a!chartSeries(),"a!chartSeries(label, data, links, color, showWhen)","label: Name that corresponds to the data value or data values to display in the legend. data: Value displayed for the related series.label. links: Array of values that determine what occurs when a user clicks a data point in the chart. Create links with: a!authorizationLink() a!documentDownloadLink() a!dynamicLink() a!newsEntryLink() a!processTaskLink() a!recordLink() a!reportLink() a!startProcessLink() a!submitLink() a!userRecordLink() a!safeLink() color: Overrides the auto-assignment of series color with a specific value. Valid values: Any valid hex color or ""ACCENT"", ""BLUEGRAY"", ""GREEN"", ""GOLD"", ""ORANGE"", ""PURPLE"", ""RED"", ""SKYBLUE"", ""LIMEGREEN"", ""YELLOW"", ""AMBER"", ""PINK"", ""VIOLETRED"". showWhen: Determines whether the series is displayed on the interface. When set to false, the series is hidden and is not evaluated. Default: true. "
a!checkboxFieldByIndex(),"a!checkboxFieldByIndex(label, instructions, required, disabled, choiceLabels, value, validations, saveInto, validationGroup, requiredMessage, align, labelPosition, helpTooltip, choiceLayout, accessibilityText, showWhen, choiceStyle)","label: Text to display as the field label. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. choiceLabels: Array of options for the user to select. value: Indices of choices to display as selected. validations: Validation errors to display below the field when the value is not null. saveInto: One or more variables that are updated with the choice indexes when the user changes the selections. Use a!save() to save a modified or alternative value to a variable. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. requiredMessage: Custom message to display when the field's value is required and not provided. align: Determines alignment of choice labels. Appian recommends this setting only be used inside the Grid Layout component. Valid values: ""LEFT"", ""CENTER"", ""RIGHT"". labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". choiceLayout: Determines the layout. Valid values include ""STACKED"" (default) to display the choices one on top of another and ""COMPACT"" to display the choices side-by-side. accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. choiceStyle: Determines how the choices should be displayed on the interface. Valid values: ""STANDARD"" (default), ""CARDS"". "
a!checkboxField(),"a!checkboxField(label, instructions, required, disabled, choiceLabels, choiceValues, value, validations, saveInto, validationGroup, requiredMessage, align, labelPosition, helpTooltip, choiceLayout, accessibilityText, showWhen, choiceStyle)","label: Text to display as the field label. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. choiceLabels: Array of options for the user to select. choiceValues: Array of values associated with the available choices. value: Values of choices to display as selected. validations: Validation errors to display below the field when the value is not null. saveInto: One or more variables that are updated with the choice values when the user changes the selections. Use a!save() to save a modified or alternative value to a variable. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. requiredMessage: Custom message to display when the field's value is required and not provided. align: Determines alignment of choice labels. Appian recommends this setting only be used inside the Grid Layout component. Valid values: ""LEFT"", ""CENTER"", ""RIGHT"". labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". choiceLayout: Determines the layout. Valid values: ""STACKED"" (default), ""COMPACT"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. choiceStyle: Determines how the choices should be displayed on the interface. Valid values: ""STANDARD"" (default), ""CARDS"". "
a!columnChartField(),"a!columnChartField(label, instructions, categories, series, xAxisTitle, yAxisTitle, yAxisMin, yAxisMax, stacking, referenceLines, showLegend, showDataLabels, showTooltips, allowDecimalAxisLabels, labelPosition, helpTooltip, accessibilityText, showWhen, colorScheme, height, xAxisStyle, yAxisStyle, data, config, refreshAlways, refreshAfter, refreshInterval, refreshOnReferencedVarChange, refreshOnVarChange)","label: Text to display as the field label. instructions: Supplemental text about this field. categories: Text to display on the X-Axis next to each column. series: Array of data series created with a!chartSeries(). xAxisTitle: Title for the independent (horizontal) axis. yAxisTitle: Title for the dependent (vertical) axis. yAxisMin: Determines the minimum displayed point on the vertical axis. yAxisMax: Determines the maximum displayed point on the vertical axis. stacking: Determines if series values display as separate bars, stacked within one bar to show the sum of series values, or stacked to a height of 100% to show the contribution to the whole within each category. Valid values: ""NONE"" (default), ""NORMAL"", ""PERCENT_TO_TOTAL"". referenceLines: Array of reference line values for each threshold to be defined on the chart. Configured using a!chartReferenceLine(). showLegend: Determines if a color legend displays below the chart. Default: true. showDataLabels: Determines if data values are displayed on each column. Default: false. showTooltips: Determines if a tooltip displays the data value for a column. Default: true. allowDecimalAxisLabels: Allows dependent (vertical) values to display as decimal numbers instead of integers. Default: false. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. colorScheme: Determines which color scheme to use in the chart. Use one of the following valid values: ""CLASSIC"" (default), ""MIDNIGHT"", ""OCEAN"", ""MOSS"", ""BERRY"", ""PARACHUTE"", ""RAINFOREST"", ""SUNSET"" or define a custom color scheme using a!colorSchemeCustom. See Chart Color Scheme for color scheme examples. height: Determines the chart height. Valid values: ""MICRO"", ""SHORT"", ""MEDIUM"" (default), ""TALL"". See Chart Heights for guidance on using the ""MICRO"" size. xAxisStyle: Determines how to display the labels and axis separators for the X-Axis. Valid values: ""STANDARD"" (default), ""NONE"". yAxisStyle: Determines how to display the labels, axis separators, and grid lines for the Y-Axis. Valid values: ""STANDARD"" (default), ""MINIMAL"", ""NONE"". data: Reference to the record type used for the source of this chart. Can accept a!recordData or a record type reference. config: Configures how to display data on the chart, including fields used for calculations and grouping, using a!columnChartConfig(). refreshAlways: When true, chart data will be refreshed after each user interaction and each interval refresh. Default: false. refreshAfter: Refreshes chart data each time a specified event completes. Valid values: ""RECORD_ACTION"". refreshInterval: How often chart data gets refreshed in minutes. When null, chart data will not be refreshed on an interval. Valid values: ""0.5"", ""1"", ""2"", ""3"", ""4"", ""5"", ""10"", ""30"", and ""60"". refreshOnReferencedVarChange: When true, chart data will be refreshed each time the value of any variable referenced in the data parameter is updated. To refresh chart data when another variable that is not used in the data parameter changes, use refreshOnVarChange. Default: true. refreshOnVarChange: Refreshes chart data each time any of these specific variables change. This allows you to refresh the chart data when a variable that is not referenced in the data parameter is updated. You can define a single variable (e.g. refreshOnVarChange: local!var1) or a list of variables (e.g. refreshOnVarChange: {local!var1, local!var2}). "
a!columnChartConfig(),"a!columnChartConfig(primaryGrouping, secondaryGrouping, measures, sort, dataLimit, link, showIntervalsWithNoData)","primaryGrouping: Defines the field labels to display on the axis in the chart, configured using a!grouping(). secondaryGrouping: Defines the field labels to display in the stacking or grouped bars in the chart, configured using a!grouping(). measures: Defines the numerical calculations for data in the chart, configured using a!measure(). If no measure is provided, a count of records shows as the measurement in the chart. sort: Use a!sortInfo() to define a sort in ascending or descending order. Use the alias of any groupings or measures to sort by the values in the chart. Use a record field or related record field reference to sort by data that is not referenced in the chart. dataLimit: Maximum number of data points to display on the chart. Default: 100. Valid values: 1-5000. link: Link to execute when a user selects a data point on the chart. Use fv!selection to pass context from the selection made on the chart to the link. Create a link using a!dynamicLink(). showIntervalsWithNoData: Determines whether the axis in the chart displays date or time values that do not have a value associated with them. For example, show January, February, and March, even if February has no data. This parameter is only available when a Date, Time, or Date and Time field is used as the primary grouping. Default: false. "
a!columnLayout(),"a!columnLayout(contents, width, showWhen)","contents: Values that define the interface components for a column. width: Determines the width of the column. Valid values: ""AUTO"" (default), ""EXTRA_NARROW"", ""NARROW"", ""NARROW_PLUS"", ""MEDIUM"", ""MEDIUM_PLUS"", ""WIDE"", ""WIDE_PLUS"", ""1X"", ""2X"", ""3X"", ""4X"", ""5X"", ""6X"", ""7X"", ""8X"", ""9X"", ""10X"". showWhen: Determines whether the layout is displayed on the interface. When set to false, the layout is hidden and is not evaluated. Default: true. "
a!hierarchyBrowserFieldColumns(),"a!hierarchyBrowserFieldColumns(label, labelPosition, instructions, helpTooltip, firstColumnValues, nodeConfigs, pathValue, pathSaveInto, nextColumnValues, selectionValue, selectionSaveInto, height, accessibilityText, showWhen)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. instructions: Supplemental text about this field. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". firstColumnValues: Values in the first column. For example, a!queryEntity(…).data or rule!CRM_getAllCustomers(). nodeConfigs: Describe how to display a value as a node using a!hierarchyBrowserFieldColumnsNode() and fv!nodeValue. This rule or expression is evaluated for each value where fv!nodeValue is any node value. pathValue: As the user clicks through the browser, clicked nodes become highlighted. These clicked nodes' values are in the pathValue. They should be stored in a variable, for example local!path. The clicked node's value is used to determine the next column, generated by nextColumnValues. pathSaveInto: Variable or list of variables to update when a user clicks on a drillable or selectable node, as determined by the node configurations. For example, local!path. Use a!save() to save a modified or alternative value to a variable. nextColumnValues: Given a node value, describe how to get the next column’s values using the variable fv!nodeValue. For example, rule!CRM_getTicketsForCustomer(customer: fv!nodeValue, isActive: true). This rule or expression is evaluated for each value in pathValue where fv!nodeValue refers any value in pathValue. selectionValue: Value of the currently selected node. The selection will be indicated by a unique display if present in the navigation path. selectionSaveInto: Variable or list of variables to update when a user clicks on a selectable node, as determined by the node configurations. Use a!save() to save a modified or alternative value to a variable. height: Determines the height of the component.Valid values: ""SHORT"", ""MEDIUM"" (default), ""TALL"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!hierarchyBrowserFieldColumnsNode(),"a!hierarchyBrowserFieldColumnsNode(id, label, image, link, isSelectable, isDrillable, nextColumnCount, showWhen)","id: Required unique identifier of the node. This value only needs to be unique within the nodes column. label: Required text to display in the node. image: Required image to display in the node, created with: a!documentImage() a!userImage() a!webImage() link: Optional link to display in the node s label title. Create links with: a!authorizationLink() a!documentDownloadLink() a!dynamicLink() a!newsEntryLink() a!processTaskLink() a!recordLink() a!reportLink() a!startProcessLink() a!submitLink() a!userRecordLink() a!safeLink() isSelectable: If true, clicking the node will save the columns browser's selection value and navigation path. If false, clicking the node will not save the selection value. It may still save the navigation path if the node is drillable. On hover, a selectable node will have a unique display. (default: true) isDrillable: If true, clicking the node will save the columns browser's navigation path, revealing another column to the user. If false, clicking the node will not reveal another column. It may still save the navigation path if the node is selectable. On hover, a drillable node will have a unique display. (default: true) nextColumnCount: The number of nodes that would be displayed if the user drilled into this node. This value is optional and is displayed on mobile only. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!columnsLayout(),"a!columnsLayout(columns, alignVertical, showWhen, marginBelow, stackWhen, showDividers, spacing, marginAbove)","columns: Columns to display using a column layout, a!columnLayout(). alignVertical: Determines vertical alignment of all column content with the layout. Valid values are ""TOP"" (default), ""MIDDLE"", and ""BOTTOM"". showWhen: Determines whether the layout is displayed on the interface. When set to false, the layout is hidden and is not evaluated. Default: true. marginBelow: Determines how much space is added below the layout. Valid values: ""NONE"", ""EVEN_LESS"", ""LESS"", ""STANDARD"" (default), ""MORE"", ""EVEN_MORE"". stackWhen: Determines the window width at which column layouts stack vertically. List all widths where columns should stack. Valid Values: ""PHONE"" (default), ""TABLET_PORTRAIT"", ""TABLET_LANDSCAPE"",""DESKTOP"", ""DESKTOP_WIDE"", ""NEVER"". showDividers: Determines whether dividers appear between the columns. Default: false. spacing: Determines the space between columns in the layout when they are not stacked. Valid values: “STANDARD” (default), “NONE”, “DENSE”, “SPARSE”. marginAbove: Determines how much space is added above the layout. Valid values: ""NONE"" (default), ""EVEN_LESS"", ""LESS"", ""STANDARD"", ""MORE"", ""EVEN_MORE"". "
a!pickerFieldCustom(),"a!pickerFieldCustom(label, instructions, required, readOnly, disabled, maxSelections, suggestFunction, selectedLabels, selectedTooltips, value, validations, saveInto, validationGroup, requiredMessage, labelPosition, placeholder, helpTooltip, selectedLinks, accessibilityText, showWhen)","label: Text to display as the field label. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. readOnly: Determines if the field should display as not editable. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. maxSelections: Maximum number of allowed selections. Once this number is reached, further selections are blocked until a selection is removed. suggestFunction: A reference to a rule or function that populates the suggestion pane. The rule or function must take a single Text parameter and must return a DataSubset, created via a!dataSubset() or a plugin function, where ""data"" contains the labels to display and ""identifiers"" contains the values to save. selectedLabels: Array of text display labels for the currently selected items. selectedTooltips: Array of text tooltips for the currently selected items. value: Array of selected identifiers. validations: Validation errors to display below the field when the value is not null. saveInto: One or more variables that are updated with the array of selected identifiers when the user adds or removes an item. Use a!save() to save a modified or alternative value to a variable. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. requiredMessage: Custom message to display when the field's value is required and not provided. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. placeholder: Text to display in the field when it is empty. Does not show if the field is read only. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". selectedLinks: Array of links to apply to the selected tokens. Create links with a!authorizationLink(), a!documentDownloadLink(), a!dynamicLink(), a!newsEntryLink(), a!processTaskLink(), a!recordLink(), a!reportLink(), a!safeLink(), a!startProcessLink(), a!submitLink(), or a!userRecordLink(). accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!dateField(),"a!dateField(label, instructions, required, readOnly, disabled, value, validations, saveInto, validationGroup, requiredMessage, align, labelPosition, helpTooltip, accessibilityText, showWhen)","label: Text to display as the field label. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. readOnly: Determines if the field should display as not editable. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. value: Date to display in the field. validations: Validation errors to display below the field when the value is not null. saveInto: One or more variables that are updated with the date when the user changes it. Use a!save() to save a modified or alternative value to a variable. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. requiredMessage: Custom message to display when the field's value is required and not provided. align: Determines alignment of the date value. Appian recommends this setting only be used inside the Grid Layout component. Valid values: ""LEFT"", ""CENTER"", ""RIGHT"". labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!dateTimeField(),"a!dateTimeField(label, instructions, required, readOnly, disabled, value, validations, saveInto, validationGroup, requiredMessage, labelPosition, helpTooltip, accessibilityText, showWhen)","label: Text to display as the field label. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. readOnly: Determines if the field should display as not editable. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. value: Date and time to display in the field. validations: Validation errors to display below the field when the value is not null. saveInto: One or more variables that are updated with the date and time when the user changes it. Use a!save() to save a modified or alternative value to a variable. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. requiredMessage: Custom message to display when the field's value is required and not provided. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!documentBrowserFieldColumns(),"a!documentBrowserFieldColumns(label, labelPosition, instructions, helpTooltip, rootFolder, navigationValue, navigationSaveInto, selectionValue, selectionSaveInto, showWhen, readOnly, height, accessibilityText)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. instructions: Supplemental text about this field. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". rootFolder: The contents of the specified folder or knowledge center are displayed in the first column of the browser. navigationValue: The folder that has been navigated to whose contents are displayed in the rightmost column. navigationSaveInto: Variable or list of variables to update when the navigation folder changes. selectionValue: The document to show as selected. selectionSaveInto: Variable or list of variables to update when a document is clicked. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. readOnly: Determines whether selection is enabled. Default: false. height: Determines the height of the component. Valid values: ""SHORT"", ""MEDIUM"" (default), ""TALL"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. "
a!documentImage(),"a!documentImage(document, altText, caption, link, showWhen)","document: The image to display. altText: Alternate text of the image used for the image's alt attribute and read by screen readers; see accessibility considerations for more information. caption: Optional text to display in the mouseover text for the image and when the images is viewed in slideshow mode. link: Link that determines the behavior of an image when clicked. Create links with: a!authorizationLink() a!documentDownloadLink() a!dynamicLink() a!newsEntryLink() a!processTaskLink() a!recordLink() a!reportLink() a!startProcessLink() a!submitLink() a!userRecordLink() a!safeLink() showWhen: Determines whether the image is displayed in the component. When set to false, the image is hidden and is not evaluated. Default: true. "
a!documentDownloadLink(),"a!documentDownloadLink(label, document, showWhen)","label: Text displayed as the link name the user clicks on. document: The ID of the document that downloads when the user clicks the link. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!pickerFieldDocuments(),"a!pickerFieldDocuments(label, labelPosition, instructions, required, requiredMessage, readOnly, disabled, maxSelections, folderFilter, value, validations, validationGroup, saveInto, placeholder, helpTooltip, accessibilityText, showWhen)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default) Displays the label above the component. ""ADJACENT"" Displays the label to the left of the component. ""COLLAPSED"" Hides the label. The label will still be read by screen readers; see accessibility considerations for more information. ""JUSTIFIED"" Aligns the label alongside the component starting at the edge of the page. instructions: Supplemental text about this field. required: Determines if a value is required to submit the form. Default: false. requiredMessage: Custom message to display when the field's value is required and not provided. readOnly: Determines if the field should display as not editable. Default: false. disabled: Determines if the field should display as potentially editable but grayed out. Default: false. maxSelections: Maximum number of allowed selections. Once this number is reached, further selections are blocked until a selection is removed. folderFilter: When present, only documents that are inside this folder and its sub-folders are suggested. value: Array of currently selected documents. validations: Validation errors to display below the field when the value is not null. validationGroup: When present, this field is only validated when a button in the same validation group is pressed. See the documentation for more information about how to use validation groups. saveInto: One or more variables that are updated with the array of selected documents when the user selects or removes a document. Use a!save() to save a modified or alternative value to a variable. placeholder: Text to display in the field when it is empty. Does not show if the field is read only. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. "
a!documentViewerField(),"a!documentViewerField(label, labelPosition, instructions, helpTooltip, document, showWhen, height, altText, disabled, accessibilityText, marginAbove, marginBelow)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default), ""ADJACENT"", ""COLLAPSED"", ""JUSTIFIED"". instructions: Supplemental text about this field. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". document: The document to display. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. height: Determines the field height. Valid values: ""SHORT"", ""MEDIUM"" (default), ""TALL"". altText: Equivalent alternate text provided to assistive technology. disabled: Determines if the user is prevented from interacting with the document. Default: false. accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. marginAbove: Determines how much space is added above the layout. Valid values: ""NONE"" (default), ""EVEN_LESS"", ""LESS"", ""STANDARD"", ""MORE"", ""EVEN_MORE"". marginBelow: Determines how much space is added below the layout. Valid values: ""NONE"", ""EVEN_LESS"", ""LESS"", ""STANDARD"" (default), ""MORE"", ""EVEN_MORE"". "
a!documentAndFolderBrowserFieldColumns(),"a!documentAndFolderBrowserFieldColumns(label, labelPosition, instructions, helpTooltip, rootFolder, navigationValue, navigationSaveInto, selectionValue, selectionSaveInto, showWhen, readOnly, height, accessibilityText)","label: Text to display as the field label. labelPosition: Determines where the label appears. Valid values: ""ABOVE"" (default), ""ADJACENT"", ""JUSTIFIED"",""COLLAPSED"". instructions: Supplemental text about this field. helpTooltip: Displays a help icon with the specified text as a tooltip. The tooltip displays a maximum of 500 characters. The help icon does not show when the label position is ""COLLAPSED"". rootFolder: The contents of the specified folder or knowledge center are displayed in the first column of the browser. navigationValue: The folder that has been navigated to whose contents are displayed in the rightmost column. navigationSaveInto: Variable or list of variables to update when the navigation folder changes. selectionValue: The document or folder to show as selected. selectionSaveInto: Variable or list of variables to update when a document or folder is clicked. showWhen: Determines whether the component is displayed on the interface. When set to false, the component is hidden and is not evaluated. Default: true. readOnly: Determines whether selection is enabled. Default: false. height: Determines the height of the component. Valid values: ""SHORT"", ""MEDIUM"" (default), ""TALL"". accessibilityText: Additional text to be announced by screen readers. Used only for accessibility; produces no visible change. "
